,adset_id,event_date,event_hour,day_adset_click,learning_phase,life_adset_click,life_adset_convert,life_adset_impressions,life_clicks_trident,life_convert_trident,life_cost_rmb,life_ctr,life_cvr,life_earnings_rmb,life_ecpm,life_impressions_trident,life_nominal_cpi,life_rr,life_trident_cpi,day_adset_convert,day_adset_impressions,day_clicks_trident,day_convert_trident,day_cost_rmb,day_ctr,day_cvr,day_earnings_rmb,day_ecpm,day_impressions_trident,day_nominal_cpi,day_rr,day_trident_cpi
1836,1693189203781655,2021-03-04,23,56,,56,0,6559,0,2,9.5600004196167,0.008537886664271355,0.0,2.190000057220459,1.457539200782776,56,0.0,0.0,4.78000020980835,0,6559,0,2,9.5600004196167,0.008537886664271355,0.0,2.190000057220459,1.457539200782776,56,0.0,0.0,4.78000020980835
1837,1693189203781655,2021-03-06,23,17,,94,0,8718,30,3,22.26000022888184,0.010782289318740368,0.0,3.059999942779541,2.553337812423706,77,0.0,0.0,7.420000076293945,0,689,3,1,6.5999999046325675,0.02467343956232071,0.0,0.09000000357627869,9.579100608825684,5,0.0,0.0,6.5999999046325675
1838,1693189203781655,2021-03-07,23,0,,94,0,8790,30,3,22.920000076293945,0.010693970136344431,0.0,3.059999942779541,2.607508420944214,77,0.0,0.0,7.639999866485597,0,72,0,0,0.6600000262260437,0.0,0.0,0.0,9.166666984558104,0,0.0,0.0,0.0
1839,1693266599605283,2021-03-04,23,3,,3,0,183,0,0,1.5499999523162842,0.016393441706895828,0.0,0.0,8.469944953918457,0,0.0,0.0,0.0,0,183,0,0,1.5499999523162842,0.016393441706895828,0.0,0.0,8.469944953918457,0,0.0,0.0,0.0
1840,1693266599605283,2021-03-06,23,0,,6,0,374,10,1,4.480000019073486,0.01604278013110161,0.0,4.139999866485597,11.978610038757324,86,0.0,0.0,4.480000019073486,0,34,0,0,0.5699999928474426,0.0,0.0,0.0,16.764705657958984,0,0.0,0.0,0.0
1841,1693016284967980,2021-03-04,21,1,,1,0,170,0,0,0.2899999916553497,0.0058823530562222,0.0,0.0,1.7058823108673096,0,0.0,0.0,0.0,0,17,0,0,0.05000000074505806,0.05882352963089942,0.0,0.0,2.941176414489746,0,0.0,0.0,0.0
1842,1692656614547475,2021-03-04,23,0,,0,0,35,0,0,0.1899999976158142,0.0,0.0,0.0,5.428571224212647,0,0.0,0.0,0.0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1843,1692656628090925,2021-03-05,23,6,,145,9,4635,41,4,116.63999938964844,0.03128371015191078,0.062068965286016464,32.560001373291016,25.165048599243164,941,12.960000038146973,0.001941747614182532,29.15999984741211,3,153,8,4,3.039999961853028,0.03921568766236305,0.5,1.5399999618530271,19.869281768798828,36,1.0133333206176758,0.01960784383118153,0.7599999904632568
1844,1692656628090925,2021-03-04,23,2,,139,6,4482,28,0,113.5999984741211,0.031012941151857376,0.04316546767950058,25.82999992370605,25.34582710266113,745,18.933332443237305,0.0013386880746111276,0.0,0,61,0,0,1.5399999618530271,0.032786883413791656,0.0,0.0,25.24590110778809,0,0.0,0.0,0.0
1845,1692656628090925,2021-03-06,23,4,,149,10,4894,48,5,121.05999755859376,0.030445443466305733,0.06711409240961075,40.650001525878906,24.736412048339844,1143,12.105999946594238,0.002043318236246705,24.21199989318848,1,259,2,1,4.420000076293945,0.0154440151527524,0.25,3.359999895095825,17.065637588500973,97,4.420000076293945,0.0038610037881881,4.420000076293945
1846,1692656628090925,2021-03-07,23,2,,151,10,5005,61,5,122.13999938964844,0.030169829726219174,0.06622516363859178,43.310001373291016,24.40359687805176,1232,12.21399974822998,0.0019980019424110647,24.42799949645996,0,111,0,0,1.0800000429153442,0.01801801845431328,0.0,0.0,9.729729652404783,0,0.0,0.0,0.0
1847,1693188636128311,2021-03-05,23,1,,1,0,30,0,0,0.5299999713897705,0.03333333507180214,0.0,0.0,17.66666603088379,0,0.0,0.0,0.0,0,17,0,0,0.30000001192092896,0.05882352963089942,0.0,0.0,17.647058486938477,0,0.0,0.0,0.0
1848,1693188636128311,2021-03-04,23,0,,0,0,13,0,0,0.23000000417232516,0.0,0.0,0.0,17.69230842590332,0,0.0,0.0,0.0,0,13,0,0,0.23000000417232516,0.0,0.0,0.0,17.69230842590332,0,0.0,0.0,0.0
1849,1690001840622647,2021-03-05,23,2146,LEARNED,10835,1228,214920,9796,1305,11182.330078125,0.050414107739925385,0.11333640664815905,4460.2900390625,52.03019714355469,135745,9.106131553649902,0.005713753867894411,8.568835258483888,268,33678,1342,484,2338.5,0.06372112035751343,0.1248835027217865,580.5,69.43701934814453,17283,8.725746154785156,0.007957717403769493,4.831611633300781
1850,1690001840622647,2021-03-11,23,1766,LEARNED,19543,2304,345476,25427,3196,20889.4609375,0.05656832829117775,0.11789387464523315,11386.6904296875,60.46573257446289,337800,9.066605567932127,0.0066690593957901,6.5361266136169425,200,20791,1498,362,1778.02001953125,0.0849405974149704,0.11325028538703917,587.1799926757812,85.51873779296875,16526,8.89009952545166,0.009619547054171562,4.911657333374023
1851,1690001840622647,2021-03-10,23,1515,LEARNED,17777,2104,324685,22543,2834,19111.439453125,0.05475152656435967,0.1183551773428917,10084.0,58.86148071289063,301673,9.083383560180664,0.006480127107352018,6.7436275482177725,188,18841,1784,347,1597.3800048828125,0.08040974289178847,0.12409240752458572,707.0900268554688,84.7821273803711,19348,8.496702194213867,0.009978238493204115,4.603400707244873
1852,1690001840622647,2021-03-04,23,1293,LEARNED,8689,960,181242,6731,821,8843.830078125,0.0479414276778698,0.1104845181107521,3094.169921875,48.79570007324219,93939,9.212323188781738,0.005296785384416579,10.772022247314453,161,25145,613,308,1521.0400390625,0.05142175406217575,0.12451662868261335,331.6099853515625,60.49075317382813,9962,9.447453498840332,0.006402863189578056,4.938441753387451
1853,1690001840622647,2021-03-06,23,2400,LEARNED,13235,1513,257718,13134,1798,13867.7900390625,0.051354579627513885,0.11431809514760972,5994.18017578125,53.80994033813477,180178,9.165757179260254,0.0058707580901682386,7.712897777557372,285,42798,1429,493,2685.4599609375,0.05607738718390465,0.11874999850988388,614.9299926757812,62.7473258972168,17640,9.422666549682617,0.006659189704805613,5.44718074798584
1854,1690001840622647,2021-03-07,23,1407,LEARNED,14642,1699,281593,16220,2125,15572.5,0.05199703201651573,0.116036057472229,7323.2900390625,55.30144500732422,219622,9.165685653686523,0.006033530458807945,7.328235149383545,186,23875,1025,327,1704.7099609375,0.05893193557858468,0.13219615817070007,436.8800048828125,71.4014663696289,12489,9.16510772705078,0.007790575735270976,5.213180541992188
1855,1690001840622647,2021-03-09,23,573,LEARNED,16262,1916,305844,19985,2487,17514.060546875,0.05317089706659317,0.11782068759202954,8964.0400390625,57.26468276977539,270352,9.140950202941896,0.006264631636440754,7.042243480682372,75,9139,357,131,646.780029296875,0.06269832700490953,0.13089005649089813,179.2100067138672,70.77141571044922,4946,8.623733520507812,0.00820658728480339,4.9372520446777335
1856,1690001840622647,2021-03-08,23,1047,LEARNED,15689,1841,296705,18560,2356,16867.279296875,0.05287743732333183,0.11734335869550705,8249.9404296875,56.8486557006836,249250,9.162020683288574,0.006204816047102213,7.159286975860597,142,15112,516,231,1294.780029296875,0.06928268820047379,0.13562560081481936,211.97999572753903,85.6789321899414,6142,9.118168830871582,0.00939650647342205,5.605108261108398
1857,1693266049074216,2021-03-05,23,0,,0,0,3,0,0,0.009999999776482582,0.0,0.0,0.0,3.3333332538604736,0,0.0,0.0,0.0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1858,1693266049074216,2021-03-06,23,0,,0,0,7,0,0,0.059999998658895486,0.0,0.0,0.0,8.571428298950195,0,0.0,0.0,0.0,0,4,0,0,0.05000000074505806,0.0,0.0,0.0,12.5,0,0.0,0.0,0.0
1859,1691461973257243,2021-03-09,19,0,LEARNED,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1860,1691461973257243,2021-03-09,19,0,LEARNED,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1861,1687393946250302,2021-03-05,23,69,LEARNED,2374,89,83432,1104,20,678.530029296875,0.028454309329390526,0.03748947009444237,394.6700134277344,8.132730484008789,21881,7.623932361602782,0.001066736993379891,33.926498413085945,2,2236,12,4,13.43000030517578,0.030858676880598068,0.028985507786273963,4.869999885559082,6.006261348724365,308,6.7150001525878915,0.0008944543660618365,3.3575000762939453
1862,1687393946250302,2021-03-11,23,2220,LEARNED,5401,165,141026,2485,150,1332.0,0.03829790279269218,0.030549898743629456,753.8200073242188,9.445066452026367,42783,8.072727203369139,0.0011699970345944164,8.880000114440918,60,40277,277,90,474.4700012207031,0.05511830747127533,0.027027027681469917,64.18000030517578,11.780172348022461,4247,7.9078330993652335,0.001489683985710144,5.271888732910156
1863,1687393946250302,2021-03-10,23,663,LEARNED,3181,105,100749,2016,60,857.530029296875,0.03157351538538933,0.03300848975777626,655.6799926757812,8.511548042297362,36348,8.166952133178711,0.001042193965986371,14.292166709899902,14,11499,207,29,147.24000549316406,0.057657185941934586,0.021116139367222786,57.040000915527344,12.80459213256836,2681,10.51714324951172,0.001217497163452208,5.07724142074585
