adset_id,event_date,day_range,y_label,mean,max,min,slope,r2_score
1693188972872740,2021-03-11,5,day_adset_impressions,23242.0,62876,42,-4012.8999999999987,0.0462180705012436
1693101619481671,2021-03-11,5,day_adset_impressions,1508.6,2313,960,-227.4,0.4330444849316801
1693107000005640,2021-03-11,5,day_adset_impressions,2047.4,5512,145,93.70000000000013,0.0045018332337800615
1693299194070075,2021-03-11,5,day_adset_impressions,101184.6,164779,63878,21460.4,0.7616727714120042
1685837127743523,2021-03-11,5,day_adset_impressions,77531.8,113315,46925,-15965.7,0.909307363491956
1693299189314605,2021-03-11,5,day_adset_impressions,90532.4,253348,482,68433.40000000001,0.78327758553826
1690571341008920,2021-03-11,5,day_adset_impressions,54529.0,96694,5948,-17894.7,0.5802609919649389
1693111180910749,2021-03-11,5,day_adset_impressions,2379.2,6240,245,-449.0,0.09644657927973803
1692903459570717,2021-03-11,5,day_adset_impressions,8190.4,30509,961,4733.4,0.34629831500083474
1690010083233828,2021-03-11,5,day_adset_impressions,179621.6,521972,15181,110576.8,0.6792833759947302
1691366294222910,2021-03-11,5,day_adset_impressions,45714.6,164842,742,38449.2,0.7276060048377491
1690282927713309,2021-03-11,5,day_adset_impressions,42964.2,149550,1497,34807.500000000015,0.7334256457180337
1691870282256424,2021-03-11,5,day_adset_impressions,41067.6,51927,26388,5932.200000000003,0.6443368477024366
1693106963120155,2021-03-11,5,day_adset_impressions,2081.0,6937,219,-1079.4,0.34229581122099706
1691115777658909,2021-03-11,5,day_adset_impressions,29375.8,136427,229,15481.1,0.1665581265895475
1685145924698141,2021-03-11,5,day_adset_impressions,138380.8,274391,65616,52741.2,0.8347545269289047
1686767092819133,2021-03-11,5,day_adset_impressions,5573.4,20978,281,2919.4,0.2720148192641476
1691870275383304,2021-03-11,5,day_adset_impressions,4761.4,20480,15,4418.999999999999,0.6163451064178279
1693107008408652,2021-03-11,5,day_adset_impressions,11176.6,33488,468,7501.300000000001,0.6974060823256772
1693106949440564,2021-03-11,5,day_adset_impressions,3531.0,8237,80,-757.5000000000003,0.08107642232889856
1693107014529036,2021-03-11,5,day_adset_impressions,3449.2,7265,963,-125.89999999999996,0.00563242809121367
1693266304061464,2021-03-11,5,day_adset_impressions,5045.2,14679,0,-460.79999999999967,0.016774221616717818
1693402798878744,2021-03-11,5,day_adset_impressions,13029.2,40098,550,4003.2,0.13940821248828916
1693402916956222,2021-03-11,5,day_adset_impressions,13323.4,32340,1236,1228.2,0.02004459625269161
1693398291707939,2021-03-11,5,day_adset_impressions,4220.2,7452,1422,-1048.0,0.5373013670172855
1693394862412836,2021-03-11,5,day_adset_impressions,650.4,3085,14,312.0,0.1313473771111866
1693398267971624,2021-03-11,5,day_adset_impressions,105.6,373,18,69.8,0.5391023002394515
1693398269961224,2021-03-11,5,day_adset_impressions,5392.2,24351,52,2567.1999999999994,0.1460661282097978
1693398356101131,2021-03-11,5,day_adset_impressions,6103.6,14007,2298,1145.2000000000005,0.13193064321526027
1693398328237108,2021-03-11,5,day_adset_impressions,6903.0,12958,1742,1573.6000000000006,0.2480871571241964
1693402898662423,2021-03-11,5,day_adset_impressions,30667.8,116938,1810,24127.2,0.6138045343320357
1693398286083076,2021-03-11,5,day_adset_impressions,4226.0,6992,937,508.5,0.09388634451940103
1693367679378467,2021-03-11,5,day_adset_impressions,6549.0,26141,143,-3754.6,0.2795612529406887
1693367846790148,2021-03-11,5,day_adset_impressions,2782.0,4518,1086,228.8,0.08616681151405026
1693367302500397,2021-03-11,5,day_adset_impressions,10569.2,42075,1743,-495.4999999999997,0.00197472627244466
1693360358624371,2021-03-11,5,day_adset_impressions,28297.4,99459,4592,9843.7,0.15002270520049832
1693367623223463,2021-03-11,5,day_adset_impressions,3225.2,6125,1237,762.8999999999997,0.3474771138442873
1693363591728301,2021-03-11,5,day_adset_impressions,7368.2,26685,80,1184.700000000001,0.027773696559627137
1693368297084980,2021-03-11,5,day_adset_impressions,6046.8,8745,1904,-1542.5000000000002,0.8762748563201013
1693266307522659,2021-03-11,5,day_adset_impressions,7164.6,16430,922,-1039.3999999999996,0.056420249735768764
1693266604861528,2021-03-11,5,day_adset_impressions,472.2,702,240,-1.5000000000000009,0.0001277329167158614
1693362217076839,2021-03-11,5,day_adset_impressions,81507.8,258297,32,66552.30000000003,0.7948094011902481
1693394867851303,2021-03-11,5,day_adset_impressions,513.2,2165,46,245.90000000000006,0.17595367148871696
1693394905831460,2021-03-11,5,day_adset_impressions,2648.8,9956,57,364.6,0.018950937964877013
1693266319662100,2021-03-11,5,day_adset_impressions,235.6,393,159,-40.2,0.4653528070215853
1693367406269454,2021-03-11,5,day_adset_impressions,3236.2,5178,99,-852.5999999999997,0.4109823791897628
1693266304745533,2021-03-11,5,day_adset_impressions,10520.0,38182,1313,3678.900000000001,0.13489656309189155
1693394870069293,2021-03-11,5,day_adset_impressions,3305.6,15783,104,1595.9,0.13086118577414466
1693200772839484,2021-03-11,5,day_adset_impressions,1313.2,3937,56,880.5000000000003,0.6994579707706634
1693266629295224,2021-03-11,5,day_adset_impressions,1839.6,7842,77,-1632.9000000000005,0.5855468078934825
1693468184515623,2021-03-11,5,day_adset_impressions,1430.6,4682,361,-313.3999999999998,0.0730115423276465
1693266341185597,2021-03-11,5,day_adset_impressions,2889.6,7771,64,-1977.4000000000005,0.9125220552200136
1693266376485940,2021-03-11,5,day_adset_impressions,1500.4,5984,83,-389.69999999999993,0.05877662624176627
1693468184926212,2021-03-11,5,day_adset_impressions,31087.4,62306,1474,-12164.300000000005,0.5737605924197351
1693496633346059,2021-03-11,5,day_adset_impressions,21255.4,69226,505,8411.4,0.2354189145046791
1693468028531816,2021-03-11,5,day_adset_impressions,19283.4,40129,352,507.2000000000018,0.0022726263751826625
1693468116220967,2021-03-11,5,day_adset_impressions,102790.0,169543,36721,-4736.0999999999985,0.01427270891923138
1693371024580653,2021-03-11,5,day_adset_impressions,2158.4,9303,157,-16.199999999999882,4.101977421955283e-05
1693266064671757,2021-03-11,5,day_adset_impressions,4.0,18,0,-0.29999999999999993,0.003658536585365857
1693106975243283,2021-03-11,5,day_adset_impressions,10024.4,39514,2013,7368.299999999997,0.4989649657595223
1693489510351880,2021-03-11,5,day_adset_impressions,91.0,185,40,9.7,0.07623561821422764
