,day_nominal_cpi,day_adset_impressions
0,0.0,3
1,0.0,1
2,0.0,1
3,0.0,0
4,0.0,13
5,0.0,6
6,0.0,6
7,0.0,2
8,0.0,3
9,0.0,4
10,0.0,2
11,0.0,2
12,0.0,0
13,0.0,3
14,0.0,1
15,0.0,0
16,0.0,2
17,0.0,0
18,0.0,1
19,0.0,0
20,0.0,0
21,0.0,2
22,0.0,2
23,0.0,16
24,0.0,1
25,0.0,15
26,0.0,9
27,0.0,17
28,0.0,10
29,0.0,0
30,0.0,2
31,0.0,5
32,0.0,5
33,0.0,1
34,0.0,0
35,0.0,0
36,0.0,0
37,0.0,0
38,9.68071460723877,6086
39,0.0,0
40,9.69499969482422,8933
41,0.0,0
42,0.0,0
43,0.0,0
44,0.0,0
45,0.0,19
46,0.0,29
47,0.0,4
48,0.0,6
49,0.0,1
50,0.0,0
51,0.0,0
52,15.449999809265135,814
53,9.536666870117188,2544
54,8.293333053588867,1086
55,5.239999771118164,1001
56,7.21999979019165,611
57,4.5900001525878915,335
58,4.079999923706056,344
59,2.4549999237060547,237
60,7.044871807098389,9319
61,0.0,403
62,0.0,528
63,0.0,270
64,0.0,34
65,1.6599999666213991,285
66,0.0,114
67,8.246738433837889,210738
68,0.0,112
69,2.5999999046325684,209
70,2.470000028610229,359
71,3.2799999713897705,509
72,0.0,466
73,5.153333187103272,8392
74,9.390000343322754,1069
75,6.286666870117188,13276
76,8.649999618530272,826
77,6.570000171661378,465
78,0.0,276
79,0.0,382
80,3.539999961853028,439
81,9.18789768218994,51141
82,0.0,429
83,10.75,1436
84,0.0,538
85,0.0,205
86,3.690000057220459,352
87,7.320000171661378,453
88,0.0,323
89,0.0,244
90,3.496666669845581,615
91,2.3433332443237305,1088
92,3.259999990463257,315
93,0.0,495
94,0.0,350
95,4.501999855041504,838
96,11.220000267028807,889
97,3.009999990463257,221
98,1.5049999952316284,155
99,0.0,430
100,0.0,111
101,15.261428833007812,4388
102,11.538461685180664,22307
103,2.265000104904175,515
104,11.097726821899414,11469
105,3.9755556583404537,2481
106,3.1233332157135014,1212
107,13.862500190734865,5251
108,0.0,43
109,9.64443302154541,76781
110,0.0,23
111,0.0,35
112,0.0,27
113,0.0,73
114,0.0,156
115,0.0,55
116,0.0,100
117,0.0,105
118,0.0,4
119,0.0,1
120,0.0,96
121,0.0,303
122,1.2649999856948853,428
123,0.0,33
124,0.0,0
125,0.0,1
126,14.896666526794435,3962
127,12.52400016784668,9406
128,13.720000267028807,1201
129,11.841034889221193,14188
130,5.52222204208374,2196
131,10.779999732971193,820
132,6.361999988555907,1351
133,8.835000038146973,5367
134,0.0,31
135,4.099999904632568,5561
136,12.968000411987305,4118
137,0.0,751
138,0.10000000149011612,146
139,0.0,262
140,0.0,578
141,18.1200008392334,4634
142,4.849999904632568,1801
143,0.0,472
144,0.0,298
145,0.0,38
146,0.0,6
147,13.494999885559082,3849
148,12.649999618530273,2281
149,6.050000190734862,1400
150,0.0,348
151,0.0,898
152,0.0,75
153,0.0,194
154,0.0,251
155,44.72999954223633,3152
156,0.0,83
157,0.0,143
158,0.0,102
159,0.0,9
160,0.0,34
161,0.0,21
162,0.0,87
163,0.8140000104904175,6749
164,0.0,199
165,0.0,16
166,0.0,0
167,0.0,3
168,0.0,198
169,0.0,1010
170,0.0,131
171,0.0,72
172,0.0,12
173,0.0,2
174,0.0,4
175,8.678000450134277,6441
176,7.127857208251952,3825
177,6.813333511352539,5927
178,7.85153865814209,4633
179,10.25,2520
180,4.107500076293944,863
181,11.824999809265135,1679
182,0.0,86
183,0.0,1792
184,0.0,387
185,0.0,310
186,0.0,27
187,0.0,1
188,0.0,35
189,0.0,619
190,0.0,718
191,0.0,5
192,0.0,0
193,0.0,3
194,0.0,2
195,0.0,183
196,0.0,452
197,0.0,236
198,1.5333333015441897,633
199,0.0,635
200,4.199999809265137,1296
201,0.0,309
202,0.0,26
203,0.0,509
204,0.0,39
205,0.0,137
206,0.0,102
207,0.0,1
208,0.0,1
209,0.0,3969
210,0.0,1
211,0.3899999856948853,104
212,0.0,49
213,0.0,3
214,0.0,1
215,0.0,43
216,0.0,111
217,0.0,17
218,0.059999998658895486,63
219,0.0,84
220,0.0,9
221,0.0,3
222,0.0,114
223,42.459999084472656,4671
224,0.0,472
225,0.0,20
226,0.0,0
227,0.0,4
228,0.0,4
229,0.0,6
230,0.0,4
231,0.0,0
232,0.0,2
233,0.0,1
234,0.0,15
235,0.0,158
236,0.0,14
237,0.0,186
238,0.0,96
239,0.0,23
240,0.0,9
241,0.0,29
242,0.0,31
243,0.0,35
244,0.0,43
245,0.33000001311302185,106
246,0.0,9
247,0.0,3
248,0.0,40
249,0.0,64
250,0.15000000596046448,28
251,0.0,26
252,0.0,13
253,0.0,3
254,9.312273025512695,17997
255,0.0,0
256,8.628776550292969,14234
257,9.51453971862793,41079
258,7.972156047821045,20322
259,0.0,0
260,2.364666700363159,658
261,0.0,3
262,10.102105140686037,8450
263,0.0,8
264,0.0,62
265,0.0,5
266,0.0,2
267,0.0,1
268,0.0,127
269,0.0,61
270,0.0,602
271,0.0,5
272,0.0,1
273,0.0,7
274,7.440000057220459,664
275,0.0,3
276,0.0,0
277,0.0,0
278,0.0,0
279,0.0,2
280,0.0,69
281,10.83923053741455,15766
282,0.0,114
283,0.0,25
284,0.0,465
285,0.0,47
286,0.0,66
287,8.663332939147951,5278
288,8.630000114440918,1305
289,8.973830223083496,35500
290,4.3379998207092285,3122
291,2.309999942779541,630
292,14.333333015441895,2616
293,1.2000000476837158,167
294,11.585714340209961,14182
295,11.091111183166504,52047
296,5.789999961853027,2813
297,9.982000350952148,33673
298,14.236000061035154,25009
299,11.314499855041506,37989
300,5.697999954223633,7122
301,2.3933334350585938,341
302,0.0,374
303,0.0,180
304,1.7899999618530271,248
305,1.4600000381469729,137
306,0.0,175
307,0.0,117
308,0.0,3
309,0.0,112
310,0.0,24
311,0.0,0
312,0.0,143
313,0.0,0
314,2.7300000190734863,279
315,0.0,494
316,0.0,161
317,0.8500000238418579,192
318,6.934999942779541,4774
319,21.270000457763672,1782
320,7.760000228881836,3595
321,0.6499999761581421,190
322,0.0,185
323,0.0,1
324,0.0,3
325,0.0,10
326,0.0,0
327,0.0,31
328,0.0,36
329,0.0,9
330,0.6700000166893005,48
331,0.0,294
332,0.0,242
333,0.0,114
334,0.5450000166893005,1379
335,2.490000009536743,487
336,0.0,234
337,0.0,1
338,0.0,1
339,0.0,24
340,0.0,10
341,0.0,33
342,0.0,73
343,0.0,50
344,0.0,62
345,0.0,30
346,0.0,2
347,0.0,10
348,0.0,62
349,0.0,16
350,0.0,156
351,0.0,59
352,0.0,30
353,0.0,14
354,0.25,116
355,0.6100000143051147,242
356,0.0,1991
357,0.0,707
358,0.0,337
359,1.5199999809265137,478
360,0.0,56
361,0.0,104
362,8.964285850524902,21457
363,9.58090591430664,119588
364,7.04114294052124,10792
365,10.33574104309082,23435
366,10.449073791503906,17439
367,9.366000175476074,5307
368,10.069090843200684,15921
369,0.0,2
370,0.0,2
371,0.0,0
372,3.0620000362396236,2924
373,6.389999866485597,334
374,6.6948890686035165,63368
375,3.5299999713897705,260
376,0.0,111
377,0.0,67
378,0.0,59
379,0.0,360
380,0.0,26
381,0.0,390
382,0.0,106
383,0.0,0
384,0.0,17
385,0.0,0
386,0.0,117
387,0.0,3
388,0.0,195
389,0.0,83
390,0.0,74
391,0.0,75
392,0.0,33
393,0.0,570
394,0.0,61
395,0.0,406
396,0.0,44
397,0.0,4
398,0.0,2
399,0.0,1
400,0.0,224
401,0.0,14
402,0.0,247
403,0.0,75
404,0.0,38
405,0.0,2
406,0.0,0
407,0.0,3
408,0.0,1
409,0.0,3
410,0.0,2
411,0.0,23
412,0.0,42
413,0.0,13
414,0.0,115
415,2.7300000190734863,435
416,0.0,3
417,0.0,14
418,0.0,118
419,0.0,0
420,0.0,944
421,0.0,62
422,0.0,3
423,0.0,2
424,0.0,0
425,0.0,20
426,0.0,0
427,0.0,45
428,0.0,9
429,0.0,0
430,0.0,1
431,3.3733332157135014,742
432,1.8550000190734863,451
433,0.0,614
434,7.0349998474121085,1371
435,5.425000190734863,1814
436,6.40500020980835,1409
437,0.0,550
438,5.056666851043701,2899
439,11.829999923706055,4336
440,3.7000000476837163,669
441,5.514999866485597,9988
442,0.0,6307
443,6.385000228881836,18242
444,0.0,4268
445,5.527538299560547,166429
446,7.000978946685791,678516
447,4.441239833831787,157540
448,6.257569313049316,232666
449,6.634538650512695,233448
450,6.764200210571289,119208
451,6.0869998931884775,152034
452,0.0,165
453,0.0,104
454,0.0,175
455,0.0,128
456,0.0,232
457,0.0,233
458,0.0,278
459,0.0,36
460,0.0,118
461,0.0,113
462,0.0,0
463,14.545000076293945,2101
464,0.0,4365
465,5.162499904632568,3027
466,0.0,0
467,0.0,0
468,0.0,69
469,0.0,154
470,0.0,95
471,0.0,0
472,0.0,117
473,0.0,128
474,6.510000228881836,410
475,0.0,0
476,9.026000022888184,13833
477,15.315290451049805,271722
478,9.964776039123537,29456
479,13.42390251159668,34880
480,15.252097129821776,58859
481,15.86160373687744,148105
482,13.272083282470705,39801
483,0.0,70
484,0.0,262
485,0.0,322
486,4.987500190734863,726
487,37.43000030517578,646
488,16.692499160766598,2293
489,14.219130516052244,8904
490,20.975000381469727,1564
491,11.076666831970217,611
492,19.780000686645508,380
493,0.0,25
494,0.0,140
495,0.42500001192092896,38
496,0.0,0
497,15.743749618530273,7397
498,20.15999984741211,685
499,18.950000762939453,2742
500,19.259033203125,15970
501,12.85777759552002,2425
502,7.052499771118164,909
503,6.315000057220459,567
504,0.0,136
505,0.0,141
506,2.8299999237060547,260
507,0.0,37
508,0.0,62
509,0.0,27
510,0.0,0
511,13.352499961853027,1285
512,22.71999931335449,447
513,12.7524995803833,1600
514,0.0,0
515,0.0,153
516,0.0,119
517,0.0,3
518,0.0,30
519,0.0,163
520,0.0,45
521,0.0,32
522,0.0,35
523,0.0,7
524,0.0,27
525,0.0,34
526,0.0,124
527,0.0,18
528,0.0,65
529,0.0,20
530,0.0,21
531,0.0,23
532,0.0,19
533,0.0,18
534,3.470000028610229,115
535,0.0,16
536,0.0,10
537,0.0,12
538,0.0,10
539,0.0,8
540,0.0,73
541,0.0,4
542,0.0,7
543,0.0,3
544,0.0,1
545,0.0,2
546,0.0,0
547,0.0,0
548,0.0,0
549,0.0,0
550,0.0,0
551,0.0,0
552,0.0,0
553,0.0,41
554,21.565000534057614,4304
555,0.0,10
556,0.0,50
557,0.8000000119209291,51
558,0.0,38
559,0.5400000214576721,45
560,0.0,127
561,0.0,105
562,0.0,56
563,0.0,63
564,0.0,29
565,0.0,15
566,0.0,22
567,0.0,72
568,0.0,72
569,0.0,29
570,0.0,45
571,0.0,30
572,0.0,14
573,0.0,11
574,0.0,265
575,0.0,162
576,0.0,17
577,0.0,107
578,1.0299999713897705,72
579,0.0,5
580,0.0,5
581,0.0,25
582,4.650000095367432,343
583,0.0,23
584,0.0,43
585,0.0,69
586,0.0,31
587,0.0,78
588,0.0,155
589,8.106666564941406,1438
